KOG0004,7,2,P59232,ZERO,Q09557;Q9XUT3,ZERO,P15357,ZERO,Q7SXA3,ZERO,B2RDW1,ZERO,P05759,P05759,P0C8R3;P0C016,P0C8R3;P0C016
KOG0101,7,2,Q9LHA8;O65719;P22953;P22954;Q9SKY8;Q9S9N1;Q9C7X7,ZERO,O45246;Q20752;G5EC99,ZERO,Q7JQR9;Q9BIR7;Q9BIS2;Q9VG58;O97125;P29844;Q9VSI1;P82910;Q8INI8;P11146;C7LA75;P02825,ZERO,Q0R4G9;Q5RGE6;F1R8V0;F1R9V3;B0UXR9;B0S610;F1Q8K1;Q6P3L3;Q6PGX4;F1RCH9;Q6PH56;Q6NYR4;B0UXS6,ZERO,A0A024R6B5;A8K5I0;O43301;P0DMV8;P17066;P34931;P48723;Q0VDF9;Q53FA3;Q96MM6;V9HWB4;V9HW22,ZERO,P10591;P09435;P10592;P40150;P22202;P38788;P16474;P11484,P40150;P38788;P11484,O59855;Q10284;P87142;P36604;Q10265,Q10284
KOG0106,7,1,P92965;P92964;P92966;Q9ZPX8,ZERO,Q23120;Q10021,ZERO,P26686,ZERO,Q6TGT9;Q802Y1;E7FFF7;A8DZG2,ZERO,A0A024R6D8;Q08170;Q13247,ZERO,Q01560,Q01560,P78814,ZERO
KOG0118,7,2,O80678;Q9SHZ6;Q9FX45;Q9FM47;Q9C8M0;Q9LRR6;Q93W34;Q43349;Q9LIS2;Q9FFZ6;Q6NPL0;Q8RWN5;Q9SEE9;Q9ZUJ3;Q8LPQ9;Q9FZ84;Q9SX79;Q1ECN0;Q9SFB4;Q9FIU6;Q9SVM8;Q9FNR1;Q8W592;Q9M3B8;Q8L440;Q9S7N9;Q9SAF2;F4HT49;Q9FM71;Q9C652;Q9LNP1;Q9LES2;Q8VXZ9;Q0WW84;Q9SAB3;Q9SJ28;Q03250;Q39061;Q9FGE6;Q67XI5;Q9SEU4;Q9LUK6;Q9C909;Q9SG10;Q9SHZ5;Q9LKA4;Q9LPI5;Q9FPJ8;O22703;O82299;F4I3B3;F4JZL1;Q8L3X8;Q9SX80,ZERO,Q95QL3;Q9TZI2;O45712;Q22318;O62337;D0G912;Q20870,ZERO,Q9VF55;P48810;Q9VTH9;Q8SXG7;A4V3J5;Q9VA45;Q8SY49;A4V3G9;Q9VHP3;Q24207;Q0KHQ1;X2JE34;A0A0B4K6U6;Q8T3X1;Q9VJG2;Q9W158,ZERO,Q1LUN6;Q6NYA1;F1QXG2;F1QFV2;F1QQ28;Q803J4;E7FAB3;Q6DHU2;Q566W6;F8W4E3;F1QAY0;F1QXT7;E7FBT4;Q5SP50;E7F3E5;B0V1I7;F1Q8A5,ZERO,A0A024QYX3;A0A024RA61;A0A024RAZ7;A0A024RDF3;A0A0A0MSS9;O60812;O75494;P23588;P42696;P51991;Q13117;Q15056;Q53XX5;Q86SE5;Q8N9W6;Q92904;Q9GZT3;Q9NX07;Q9NQZ3;Q9NR90;Q9UKM9;Q99729,ZERO,Q08208;Q07623;Q3E746;Q08925;P32831;Q03735;P32605;Q12046,Q08208;Q07623,O14369;Q9P6M8;O13759;O13674;O13741;P87126;Q09702;O59784;O94621;O60176,O13741
KOG0845,7,1,F4ID16;Q8RY25;Q9CAF4,ZERO,G5EEH9,ZERO,Q7KLX0;Q867W7,ZERO,F1QRD4;E7F981,ZERO,P52948;Q9HCD5,ZERO,P49687,ZERO,Q9UTK4,Q9UTK4
KOG0216,7,1,F4I366,F4I366,Q27493,ZERO,P20028,ZERO,B8JKD7,ZERO,Q9H9Y6,ZERO,A5Z2X5,ZERO,Q9P7X8,ZERO
KOG0262,7,2,Q9SVY0,Q9SVY0,G5ED21,ZERO,P91875,ZERO,E7F710,ZERO,O95602,ZERO,P10964,P10964,P15398,ZERO
KOG0291,7,6,Q8VYZ5,Q8VYZ5,P91341,P91341,Q5U0X8,ZERO,F1RAC4,F1RAC4,Q15269,Q15269,P25635,P25635,Q9C1X1,Q9C1X1
KOG0299,7,6,Q9M0V4;Q3MKM6,Q3MKM6,A9D0C3,A9D0C3,Q8MSW9,ZERO,E9QD90,E9QD90,O43818,O43818,Q06506,Q06506,Q9P7C0,Q9P7C0
KOG0306,7,4,Q9LVF2,ZERO,Q19433,Q19433,Q9VE98,ZERO,B0S6A9,B0S6A9,Q5TDG3,ZERO,Q12220,Q12220,P87177,P87177
KOG0310,7,6,O82266,O82266,Q9N477,Q9N477,O46069,ZERO,Q7ZW33,Q7ZW33,Q8TED0,Q8TED0,Q04305,Q04305,O94365,O94365
KOG0319,7,4,Q9LFE2,ZERO,O18215,O18215,Q7JQT9,ZERO,F1QYF0,F1QYF0,Q12788,Q12788,P0C5P7,ZERO,Q9USN3,Q9USN3
KOG0327,7,2,Q8W4E1;Q3E9C3;Q9CAI7;P41377;P41376,ZERO,Q20935,ZERO,Q9VHS8;C9QP42,ZERO,F1QH34;Q7ZU67;F1R166;Q802C9,ZERO,A0A024R8W0;P60842;Q14240,ZERO,Q12099;P10081,Q12099,Q10055;P47943,Q10055
KOG0330,7,4,Q8GY84,ZERO,P34580,P34580,Q9VIF6,ZERO,Q5RGB7;F1R1J8;F1RAR3;F1R080,ZERO,A0A024RAS3;Q9NUL7;Q9Y6V7,Q9NUL7,P38712,P38712,Q9P6N8,Q9P6N8
KOG0335,7,2,Q84W89;Q8LA13;Q9M2F9,ZERO,P34689;Q966L9;Q23080,ZERO,A0A0B4KGU4,ZERO,F1QES3;B0S6P6;F1RCB2,ZERO,A0A024R9A4;Q9NQI0;O00571,O00571,P06634;Q3E751;P53166,P53166,O13370,ZERO
