EVENT;DATETIME;SERVER_HOST;SERVER_ADDR;METHOD;FILE;ACTION_NAME;ACTION_ADD;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;LANGUAGE;DOCUMENT_ROOT
"PAGE VISIT";"2024-01-05 16:33:07 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Hungary;134.255.12.247;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;mac;hu;/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 16:39:45 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Hungary;134.255.12.247;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;mac;hu;/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:02:36 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";"United States";52.114.75.216;"Mozilla/5.0 (Windows NT 6.1; WOW64) SkypeUriPreview Preview/0.5 skype-url-preview@microsoft.com";Unknown;Unknown;windows;en-US;/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:02:50 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";France;109.213.179.165;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,en-US;q=0.8,fr;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:03:13 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Italy;5.170.12.64;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362";"Google Chrome";70.0.3538.102;windows;"en-US,en;q=0.5";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:03:26 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Hungary;81.182.200.38;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,hu-HU;q=0.8,hu;q=0.7,en-US;q=0.6,it;q=0.5";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:03:45 Europe/Budapest";dulzoltan.hu;77.111.127.235;POST;/go_tool/main.php;"page request";"QUERY (1)";France;109.213.179.165;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,en-US;q=0.8,fr;q=0.7";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:04:39 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Hungary;81.182.200.38;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,hu-HU;q=0.8,hu;q=0.7,en-US;q=0.6,it;q=0.5";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:04:44 Europe/Budapest";dulzoltan.hu;77.111.127.235;POST;/go_tool/main.php;"page request";"QUERY (1)";Hungary;81.182.200.38;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,hu-HU;q=0.8,hu;q=0.7,en-US;q=0.6,it;q=0.5";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
"PAGE VISIT";"2024-01-05 17:04:48 Europe/Budapest";dulzoltan.hu;77.111.127.235;GET;/go_tool/main.php;"page request";"QUERY (1)";Hungary;81.182.200.38;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";"Google Chrome";120.0.0.0;windows;"en-GB,en;q=0.9,hu-HU;q=0.8,hu;q=0.7,en-US;q=0.6,it;q=0.5";/home/fogorvosa/dulzoltan.hu/go_tool/main.php
